가람마살라, '8'
가래떡, '3'
가루녹차, '8'
가시오가피, '12'
가쓰오부시, '16'
가자미, '15'
가지, '11'
각, '18'
각종새싹, '11'
간장, '8'
갈비, '1'
갈치, '15'
감, '12'
감귤, '12'
감말랭이, '12'
감식초, '8'
감자, '11'
감자녹말, '6'
감자전분, '6'
감자튀김, '18'
갑오징어, '15'
강낭콩, '3'
강력분, '6'
강황, '8'
강황쌀, '3'
건고추, '11'
건곤드레, '11'
건다시마, '16'
건당면, '10'
건대추, '11'
건도토리묵, '17'
건두부, '17'
건로즈메리, '12'
건매생이, '15'
건멸치, '16'
건목이버섯, '11'
건미역, '16'
건바질, '11'
건방울토마토, '11'
건새우, '16'
건오레가노, '11'
건오징어, '16'
건자두, '12'
건청양고추, '11'
건체리, '12'
건취나물, '11'
건크랜베리, '12'
건타임, '11'
건토마토, '11'
건포도, '12'
건표고버섯, '11'
건함초, '11'
검은콩튀밥, '3'
게맛살, '15'
게피, '11'
겨자, '8'
계란, '2'
계피, '8'
고구마, '11'
고구마다이스, '11'
고구마순, '11'
고등어, '15'
고명, '11'
고사리, '11'
고수, '11'
고추, '11'
고추기름, '9'
고추냉이, '8'
고추장, '8'
고추피클, '11'
고춧가루, '8'
곤드레나물, '11'
곤약, '17'
곤약냉채, '17'
곤약면, '10'
곤약쌀, '3'
골뱅이, '15'
곰피, '15'
곶감, '12'
과메기, '15'
관자, '15'
광어, '15'
구기자, '8'
국간장, '8'
국물용멸치, '16'
국수, '10'
굴, '15'
굴림만두, '18'
굴소스, '8'
귀리, '3'
귤병, '12'
귤즙, '8'
귤통조림, '12'
그라나파다노치즈, '5'
그라놀라, '3'
그릭요거트, '5'
근대, '11'
금태, '15'
기름, '9'
김, '16'
김가루, '16'
김치, '13'
까나리액젓, '8'
까망베르치즈, '5'
깍두기, '13'
깨, '3'
깨소금, '8'
깻잎, '11'
꼬막, '15'
꼬막살, '15'
꽁치, '15'
꽃게, '15'
꽈리고추, '11'
꿀, '8'
낙지, '15'
날치알, '15'
낫토, '18'
냉이, '11'
넛맥, '3'
노두유, '9'
노루궁뎅이버섯, '11'
노른자, '2'
녹두, '3'
녹말, '6'
녹차, '8'
누룽지, '3'
느타리버섯, '11'
다미사, '16'
다슬기, '15'
다시다, '8'
다시마, '16'
다시마가루, '8'
단촛물, '8'
단호박, '11'
달걀, '2'
달래, '11'
닭가슴살, '1'
닭고기, '1'
닭날개, '1'
닭다리, '1'
닭봉, '1'
닭뼈, '18'
닭육수, '8'
당귀, '11'
당근, '11'
당면, '10'
대구, '15'
대추, '11'
대파, '11'
더덕, '11'
데리야키소스, '8'
데미글라스, '8'
도라지, '11'
도미, '15'
돈가스소스, '8'
돈나물, '11'
돌나물, '11'
동치미, '13'
동태포, '16'
돼지갈비, '1'
돼지고기, '1'
돼지고기등갈비, '1'
돼지고기등심, '1'
돼지고기목살, '1'
돼지고기베이컨, '1'
돼지고기사태, '1'
돼지고기살라미, '1'
돼지고기삼겹살, '1'
돼지고기안심, '1'
돼지고기앞다리살, '1'
돼지고기완자, '1'
돼지고기족발, '1'
돼지고기쪽갈비, '1'
돼지고기찜갈비, '1'
돼지고기햄, '1'
돼지머리, '1'
된장, '8'
두릅, '11'
두반장, '8'
두부, '17'
두부면, '10'
두유, '5'
들기름, '9'
들깨, '3'
들깨가루, '8'
디종머스타드, '8'
디포리, '15'
딜, '8'
딸기, '12'
딸기잼, '7'
땅콩, '4'
땅콩가루, '8'
땅콩기름, '9'
땅콩잼, '7'
떡, '3'
떡갈비, '1'
또띠아, '6'
라디치오, '11'
라면, '10'
라면스프, '8'
라이스페이퍼, '3'
라임, '12'
라임즙, '8'
라임청, '7'
라즈베리, '12'
락교, '18'
래디쉬, '11'
레드와인, '14'
레드와인식초, '8'
레몬, '12'
레몬그라스, '11'
레몬소스, '8'
레몬제스트, '8'
레몬즙, '8'
로메인, '11'
로즈메리, '8'
루꼴라, '11'
리치, '12'
리코타치즈, '5'
마, '11'
마늘, '11'
마늘가루, '8'
마늘기름, '9'
마늘드레싱, '8'
마늘종, '11'
마늘칩, '11'
마요네즈, '8'
마카다미아, '4'
막걸리, '14'
만두피, '6'
만송이버섯, '11'
맛간장, '8'
맛소금, '8'
맛술, '8'
맛장, '8'
망고, '12'
망고퓨레, '7'
매생이, '11'
매실농축액, '8'
매실식초, '8'
매실엑기스, '8'
매실장아찌, '18'
매실청, '7'
맥주, '14'
머스타드, '8'
머스터드씨드, '8'
머스터드파우더, '8'
머위대, '11'
먹물, '15'
멍게살, '15'
메밀가루, '6'
메밀면, '10'
메밀튀밥, '3'
메이플시럽, '7'
메추리알, '2'
멜론, '12'
멥쌀, '3'
멸치, '16'
멸치간장, '8'
멸치액젓, '8'
멸치육수, '8'
명란젓, '15'
명태, '16'
모시조개, '15'
모짜렐라치즈, '5'
목이버섯, '11'
무, '11'
무말랭이, '13'
무순, '11'
무청, '7'
무화과, '12'
묵, '17'
문어, '15'
물엿, '8'
미나리, '11'
미더덕, '15'
미림, '8'
미소된장, '8'
미숫가루, '3'
미역, '15'
미향, '8'
민들레, '11'
민들레잎, '11'
민어, '15'
민트, '8'
밀가루, '6'
밀가루박력분, '6'
밀가루중력분, '6'
밀전병, '6'
바게트, '6'
바나나, '12'
바닐라빈, '7'
바지락, '15'
바질, '8'
바질럽드, '8'
바질페스토, '8'
박력분, '6'
발사믹소스, '8'
발사믹식초, '8'
발사믹크레마, '8'
발사믹크림, '8'
밤, '4'
밥, '3'
방아잎, '8'
방울토마토, '11'
배, '12'
배즙, '8'
배추, '11'
배추김치, '13'
백김치, '13'
백년초, '8'
백년초면, '10'
백만송이버섯, '11'
백목이버섯, '11'
백일송이버섯, '11'
백합, '15'
버섯, '11'
버터, '5'
베이킹파우더, '6'
병어, '15'
보리, '3'
보릿가루, '6'
복분자, '12'
복분자소스, '8'
복숭아, '12'
볶음소스, '8'
봄동, '11'
부추, '11'
부침가루, '6'
북어, '16'
북어채, '16'
북엇국, '18'
분유, '5'
브로콜리, '11'
블랙올리브파우더, '8'
블루베리, '12'
블루베리잼, '7'
비름나물, '11'
비타민, '11'
비트, '11'
비트가루, '8'
빠금장, '8'
빵, '6'
빵가루, '6'
뽕잎가루, '8'
사골육수, '8'
사과, '12'
사과소스, '8'
사과식초, '8'
사과주스, '8'
사과즙, '8'
사워크림, '8'
사이다, '8'
산딸기, '12'
살사소스, '8'
삼치, '15'
상추, '11'
새송이버섯, '11'
새싹, '11'
새우, '15'
새우젓, '8'
샐러드드레싱, '8'
샐러리, '11'
생가, '11'
생강, '11'
생강즙, '8'
생강청, '7'
생면, '10'
생선실치, '15'
생크림, '5'
서리태, '3'
석류, '12'
석류즙, '8'
석박지, '13'
설탕, '8'
설탕시럽, '8'
세발나물, '11'
소고기, '1'
소고기갈비, '1'
소고기등심, '1'
소고기목살, '1'
소고기부채살, '1'
소고기부챗살, '1'
소고기사태, '1'
소고기살치살, '1'
소고기삼겹살, '1'
소고기안심, '1'
소고기양지, '1'
